"FORUM_BBS_NO","FORUM_CATEGORY_CODE","RGST_DATE","RGST_USER_NO","RGST_USER_ID","UPDT_DATE","UPDT_USER_NO","UPDT_USER_ID","DEL_YN"
33,TRNC_RND,2023-07-11 11:25:52.130,"10108314",wangyunlu,2023-07-11 11:25:52.130,"10108314",wangyunlu,N
34,TRNC_RND,2023-07-12 14:29:25.303,"07005151",minyoung92,2023-07-12 14:29:25.303,"07005151",minyoung92,N
35,TRNC_PROD,2023-07-13 17:10:23.577,"07002005",ksm3276,2023-07-13 17:10:23.577,"07002005",ksm3276,N
35,TRNC_RND,2023-07-13 17:10:23.577,"07002005",ksm3276,2023-07-13 17:10:23.577,"07002005",ksm3276,N
35,TRNC_TECH,2023-07-13 17:10:23.577,"07002005",ksm3276,2023-07-13 17:10:23.577,"07002005",ksm3276,N
36,TRNC_RND,2023-07-19 09:02:19.097,"07002212",seongsoo0521,2023-07-19 10:47:54.163,"07002212",seongsoo0521,N
37,TRNC_RND,2023-07-19 18:57:00.680,"00217550",taeseoph,2023-07-19 18:57:00.680,"00217550",taeseoph,N
38,TRNC_QLITY,2023-07-25 11:05:56.683,"00223696",lsitin,2023-07-25 11:05:56.683,"00223696",lsitin,N
38,TRNC_RND,2023-07-25 11:05:56.683,"00223696",lsitin,2023-07-25 11:05:56.683,"00223696",lsitin,N
38,TRNC_TECH,2023-07-25 11:05:56.683,"00223696",lsitin,2023-07-25 11:05:56.683,"00223696",lsitin,N
39,TRNC_RND,2023-07-27 10:28:51.433,"10088643",zhaocaiyi,2023-07-27 10:28:51.433,"10088643",zhaocaiyi,N
40,TRNC_RND,2023-07-27 10:58:14.960,"07001101",leeje137,2023-07-27 10:58:14.960,"07001101",leeje137,N
41,TRNC_QLITY,2023-07-27 13:05:55.217,"10088643",zhaocaiyi,2023-07-27 13:05:55.217,"10088643",zhaocaiyi,N
42,TRNC_RND,2023-08-08 10:00:49.783,"00224269",jngmin,2023-08-08 10:00:49.783,"00224269",jngmin,N
43,TRNC_RND,2023-08-08 10:16:10.360,"00224269",jngmin,2023-08-08 10:16:10.360,"00224269",jngmin,N
44,TRNC_RND,2023-08-08 10:28:01.240,"07000967",kscholg,2023-08-08 10:28:01.240,"07000967",kscholg,N
45,TRNC_PROD,2023-08-08 12:56:13.803,"00226879",hyerinyoon,2023-08-08 12:56:13.803,"00226879",hyerinyoon,N
45,TRNC_QLITY,2023-08-08 12:56:13.803,"00226879",hyerinyoon,2023-08-08 12:56:13.803,"00226879",hyerinyoon,N
45,TRNC_RND,2023-08-08 12:56:13.803,"00226879",hyerinyoon,2023-08-08 12:56:13.803,"00226879",hyerinyoon,N
45,TRNC_TECH,2023-08-08 12:56:13.803,"00226879",hyerinyoon,2023-08-08 12:56:13.803,"00226879",hyerinyoon,N
46,TRNC_RND,2023-08-08 14:06:33.023,"07003179",minju.choi,2023-08-08 14:06:33.023,"07003179",minju.choi,N
47,TRNC_QLITY,2023-08-08 15:12:22.773,"00226879",hyerinyoon,2023-08-08 15:12:22.773,"00226879",hyerinyoon,N
47,TRNC_RND,2023-08-08 15:12:22.773,"00226879",hyerinyoon,2023-08-08 15:12:22.773,"00226879",hyerinyoon,N
47,TRNC_TECH,2023-08-08 15:12:22.773,"00226879",hyerinyoon,2023-08-08 15:12:22.773,"00226879",hyerinyoon,N
48,TRNC_PROD,2023-08-09 09:21:57.343,"07003154",hji_7,2023-08-09 09:21:57.343,"07003154",hji_7,N
48,TRNC_QLITY,2023-08-09 09:21:57.343,"07003154",hji_7,2023-08-09 09:21:57.343,"07003154",hji_7,N
48,TRNC_RND,2023-08-09 09:21:57.343,"07003154",hji_7,2023-08-09 09:21:57.343,"07003154",hji_7,N
48,TRNC_TECH,2023-08-09 09:21:57.343,"07003154",hji_7,2023-08-09 09:21:57.343,"07003154",hji_7,N
49,TRNC_RND,2023-08-12 15:07:22.810,"10108314",wangyunlu,2023-08-12 15:07:22.810,"10108314",wangyunlu,N
50,TRNC_RND,2023-08-24 10:35:55.987,"07001520",jinju.p,2023-08-24 10:40:37.307,"07001520",jinju.p,N
51,TRNC_RND,2023-08-24 15:59:55.290,"00223690",satnight5,2023-08-24 15:59:55.290,"00223690",satnight5,N
52,TRNC_RND,2023-08-25 13:08:17.520,"10108314",wangyunlu,2023-08-25 13:08:17.520,"10108314",wangyunlu,N
53,TRNC_PROD,2023-08-27 10:50:55.840,FP501517,pgg0315,2023-08-27 11:21:09.810,FP501517,pgg0315,N
53,TRNC_RND,2023-08-27 10:50:55.840,FP501517,pgg0315,2023-08-27 11:21:09.803,FP501517,pgg0315,N
53,TRNC_TECH,2023-08-27 10:50:55.840,FP501517,pgg0315,2023-08-27 11:21:09.807,FP501517,pgg0315,N
54,TRNC_NFF,2023-08-27 12:19:26.147,FP504959,vkdkvd369,2023-08-27 12:19:26.147,FP504959,vkdkvd369,N
54,TRNC_RND,2023-08-27 12:17:34.443,FP504959,vkdkvd369,2023-08-27 12:19:26.140,FP504959,vkdkvd369,N
54,TRNC_TECH,2023-08-27 12:17:34.443,FP504959,vkdkvd369,2023-08-27 12:19:26.137,FP504959,vkdkvd369,Y
55,TRNC_HR,2023-08-27 15:58:55.380,FP501517,pgg0315,2023-08-27 16:05:44.557,FP501517,pgg0315,N
55,TRNC_INFR_SAFE,2023-08-27 15:58:55.380,FP501517,pgg0315,2023-08-27 16:05:44.533,FP501517,pgg0315,N
55,TRNC_MNGMT_INV,2023-08-27 15:58:55.380,FP501517,pgg0315,2023-08-27 16:05:44.507,FP501517,pgg0315,N
55,TRNC_SCM_PURCH,2023-08-27 15:58:55.380,FP501517,pgg0315,2023-08-27 16:05:44.483,FP501517,pgg0315,N
55,TRNSLAT_IT,2023-08-27 15:58:55.380,FP501517,pgg0315,2023-08-27 16:05:44.580,FP501517,pgg0315,N
56,TRNC_BMS,2023-08-27 16:16:42.920,FP504959,vkdkvd369,2023-08-27 16:16:56.367,FP504959,vkdkvd369,N
56,TRNC_NFF,2023-08-27 16:16:42.920,FP504959,vkdkvd369,2023-08-27 16:16:56.363,FP504959,vkdkvd369,N
56,TRNC_RND,2023-08-27 16:16:42.920,FP504959,vkdkvd369,2023-08-27 16:16:56.360,FP504959,vkdkvd369,N
56,TRNC_TECH,2023-08-27 16:16:42.920,FP504959,vkdkvd369,2023-08-27 16:16:56.360,FP504959,vkdkvd369,N
57,TRNC_TECH,2023-08-28 14:12:17.120,"07001861",kimkym,2023-08-28 14:12:17.120,"07001861",kimkym,N
58,TRNC_MNGMT_INV,2023-08-28 14:13:35.517,"07002750",jongwonhong,2023-08-28 14:13:35.517,"07002750",jongwonhong,N
59,TRNC_BSN_MARKT,2023-08-28 14:30:50.430,FP503057,djlee92,2023-08-28 14:30:50.430,FP503057,djlee92,N
60,TRNC_ETC,2023-08-28 17:34:36.707,FP501517,pgg0315,2023-08-28 17:34:36.707,FP501517,pgg0315,N
61,TRNC_ETC,2023-08-28 18:33:28.430,FP501517,pgg0315,2023-08-28 18:33:28.430,FP501517,pgg0315,N
62,TRNC_RND,2023-08-29 09:55:18.430,"07002212",seongsoo0521,2023-08-29 10:03:23.067,"07002212",seongsoo0521,N
63,TRNC_PROD,2023-08-30 09:31:44.380,"00231059",mingyu.kim,2023-08-30 09:31:44.380,"00231059",mingyu.kim,N
63,TRNC_RND,2023-08-30 09:31:44.380,"00231059",mingyu.kim,2023-08-30 09:31:44.380,"00231059",mingyu.kim,N
63,TRNC_TECH,2023-08-30 09:31:44.380,"00231059",mingyu.kim,2023-08-30 09:31:44.380,"00231059",mingyu.kim,N
64,TRNC_RND,2023-08-30 12:23:48.250,"10088643",zhaocaiyi,2023-08-30 12:23:48.250,"10088643",zhaocaiyi,N
65,TRNC_RND,2023-08-31 09:12:25.847,"00209075",byeongmin,2023-08-31 09:12:25.847,"00209075",byeongmin,N
66,TRNC_RND,2023-08-31 13:54:35.933,"07004692",yulheejoo,2023-08-31 13:54:35.933,"07004692",yulheejoo,N
67,TRNC_RND,2023-09-05 17:18:38.670,"07004692",yulheejoo,2023-09-05 17:18:38.670,"07004692",yulheejoo,N
68,TRNC_RND,2023-09-05 18:22:56.493,"07003496",park_seungho,2023-09-05 18:22:56.493,"07003496",park_seungho,N
69,TRNC_RND,2023-09-07 06:21:38.223,"07003537",melily,2023-09-07 06:21:38.223,"07003537",melily,N
70,TRNC_RND,2023-09-07 06:23:44.293,"07003537",melily,2023-09-07 06:23:44.293,"07003537",melily,N
71,TRNC_RND,2023-09-07 06:28:10.270,"07003537",melily,2023-09-07 06:28:10.270,"07003537",melily,N
72,TRNC_RND,2023-09-07 13:07:23.597,"00229972",heyloverskdh,2023-09-07 13:07:23.597,"00229972",heyloverskdh,N
73,TRNC_QLITY,2023-09-12 17:23:57.397,"10110635",liuyuncnb,2023-09-12 17:24:17.247,"10110635",liuyuncnb,N
73,TRNC_RND,2023-09-12 17:23:57.397,"10110635",liuyuncnb,2023-09-12 17:24:17.243,"10110635",liuyuncnb,N
74,TRNC_QLITY,2023-09-18 19:33:51.663,"00219898",skyfnlvod,2023-09-18 19:33:51.663,"00219898",skyfnlvod,N
74,TRNC_RND,2023-09-18 19:33:51.663,"00219898",skyfnlvod,2023-09-18 19:33:51.663,"00219898",skyfnlvod,N
